id;nombre;nombre_tipo_articulo;id_familia;nombre_familia;id_marca;nombre_marca;moneda;nombre_moneda;tipo_igv;nombre_tipo_igv;nombre_unidad_medida;valor_compra_base;valor_venta_base;codigo_sunat;descripcion;especificacion_tecnica;stock_minimo;anio_garantia;stock_actual_empresa;formula;editar;eliminar
12925;PROCE AMD RYZEN 5 2400G 3.9GHZ 4 CORES 6M SOCKET AM4/COOLER;PRODUCTO;11;PROCESADOR;28;AMD;13;DÓLARES;14;GRAVADO;UND;11.80;178.00;43210000;;;-100000;1;1.000;;;
12926;MOUSE LOGITECH MX MASTER 2S WIRELESS BLACK/SILVER ( PN 910-005 );PRODUCTO;34;MOUSE;4;LOGITECH;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;53.01;43210000;;;-100000;1;0.000;;;
12927;TECLADO FRENETIC  MIC K707RX  GAMER USB LED MICRONICS;PRODUCTO;18;TECLADO;56;MICRONICS;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;9.99;43210000;;;-100000;1;0.000;;;
12928;HEADSET GAMER USB HALION  HA-M750 VIRTUAL 7.1 COLORES;PRODUCTO;15;AUDIFONOS;15;HALION;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;22.00;43210000;;;-100000;1;0.000;;;
12929;PARL C/ BATERIA HALION EQUIS  HA-Q61 40W MIC BT-RC-USB-TF;PRODUCTO;10;PARLANTE;15;HALION;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;38.00;43210000;;;-100000;1;2.000;;;
12930;"FUNDA LAPTOP 14""   15.6"" COLORES CON ESPUMA";PRODUCTO;58;FUNDA;2;GENERICO;12;SOLES;14;GRAVADO;UND;15.00;20.00;43210000;;;-100000;1;13.000;;;
12931;MOUSE GAMING LOGITECH G903 HERO LIGTHSPEED WIRELES RGB 910-005670;PRODUCTO;34;MOUSE;4;LOGITECH;13;DÓLARES;14;GRAVADO;UND;11.80;103.00;43210000;;;-100000;1;0.000;;;
12932;"TABLET ADVANC EPRIME PR7144 7"" 1280X800 IPS ANDROID 6 3GB 16GB RAM 2GB";PRODUCTO;92;TABLET;51;ADVANCE;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;1.00;43210000;;;-100000;1;0.000;;;
12933;GPS GARMIN ETREX 30X;PRODUCTO;199;GPS;237;GARMIN;12;SOLES;14;GRAVADO;UNIDAD;11.80;0.00;43210000;;;-100000;1;0.000;;;
12934;CASE ANTRYX FX FALCON CON RG8  USB 3.0 S/ FUENTE ( AC-FX510K-W2W2FRGB );PRODUCTO;24;CASE;209;ANTRYX;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;90.00;43210000;;;-100000;1;0.000;;;
12935;PROYECTOR INTERACTIVO EPSON BRIGHTLINK 695WI+ (V11H740021);PRODUCTO;119;PROYECTOR;67;EPSON;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;2105.00;43210000;;;-100000;1;0.000;;;
12936;CONTROL DE ASISTENCIA LX16 ZKTECO;PRODUCTO;151;CONTROL;173;ZKTECO;13;DÓLARES;14;GRAVADO;UNIDAD;48.61;51.53;43210000;;;-100000;1;3.000;;;
12937;CASE AVATEC CCA-4113BL 450W;PRODUCTO;24;CASE;48;AVATEC;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;45.01;43210000;;;-100000;1;0.000;;;
12938;GPS GARMIN ETREX 35 TOUCH;PRODUCTO;199;GPS;237;GARMIN;12;SOLES;14;GRAVADO;UNIDAD;11.80;0.00;43210000;;;-100000;1;0.000;;;
12939;"TABLET 7"" ADVANCE IPS MTK8321 2G+16 1280*800";PRODUCTO;92;TABLET;51;ADVANCE;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;0.00;43210000;;;-100000;1;0.000;;;
12940;"MONITOR TV ADVANCE 39"" HD ISDB-T DOLBY+TVBOX LED ADV39N  1366 X 768";PRODUCTO;77;MONITOR;51;ADVANCE;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;326.00;43210000;;;-100000;1;0.000;;;
12941;ANTIVIRUS KASPERSKY INTERNET SECURITY 5PC;PRODUCTO;36;ANTIVIRUS;142;KASPERSKY;12;SOLES;14;GRAVADO;UND;11.80;1.00;43210000;;;-100000;1;0.000;;;
12942;"TABLET SAMSUNG GALAXY TAB A DE 8"" 1280X800, RAM 2GB, ROM 32GB, ANDROID (SM-T290NZKAPEO)";PRODUCTO;92;TABLET;5;SAMSUNG;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;138.50;43210000;;;-100000;1;0.000;;;
12943;LAPTOP LENOVO IP520 I5 7MA 4GB 1TB 14.0;PRODUCTO;82;LAPTOP;137;LENOVO;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;552.00;43210000;;;-100000;1;0.000;;;
12944;"LAPTOP LENOVO IDEA PAD 520S 14"" I5 7200U 4GB 1TB";PRODUCTO;82;LAPTOP;137;LENOVO;12;SOLES;14;GRAVADO;UND;11.80;1.00;43210000;;;-100000;1;0.000;;;
12945;SPLITER HDMI DE 8 PUERTOS;PRODUCTO;125;SPLITTER;2;GENERICO;12;SOLES;14;GRAVADO;UND;11.80;185.00;43210000;;;-100000;1;0.000;;;
12946;CASE AVATEC 4301BB/4303BB/4304BB/4305BR S/F USB3.0;PRODUCTO;24;CASE;48;AVATEC;12;SOLES;14;GRAVADO;UND;11.80;101.00;43210000;;;-100000;1;0.000;;;
12947;CASE AVATEC CCA-3236W 350W;PRODUCTO;24;CASE;48;AVATEC;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;30.80;43210000;;;-100000;1;0.000;;;
12948;BATERIA HP ELITEBOOCK 8440;PRODUCTO;51;BATERIA;11;HP;12;SOLES;14;GRAVADO;UND;11.80;92.00;43210000;;;-100000;1;0.000;;;
12949;PAPEL BOND A4 75 GR;PRODUCTO;79;PAPEL;0;;12;SOLES;14;GRAVADO;UNIDAD;11.80;0.00;43210000;;;-100000;1;0.000;;;
12950;IMPRESORA TERMICA TM-T88V P/N: C31CA85834;PRODUCTO;23;IMPRESORA;67;EPSON;12;SOLES;14;GRAVADO;UNIDAD;11.80;1.00;43210000;;;-100000;1;0.000;;;
12951;TECLADO GENIUS SCORPION K9 GAMING USB BLACK PN 31310472101;PRODUCTO;18;TECLADO;3;GENIUS;13;DÓLARES;14;GRAVADO;UND;11.80;23.00;43210000;;;-100000;1;1.000;;;
12952;"MONITOR 24"" BENQ LED GM2470H";PRODUCTO;77;MONITOR;36;BENQ;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;136.00;43210000;;;-100000;1;0.000;;;
12953;PARL KLIP D/ METAL KWS-608GD  PORTABLE AUDIO;PRODUCTO;10;PARLANTE;105;KLIP XTREME;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;0.00;43210000;;;-100000;1;0.000;;;
12954;WORKSTATION DELL PRECISION TOWER 7910;PRODUCTO;200;ESTACIÓN DE TRABAJO;152;DELL;12;SOLES;14;GRAVADO;UNIDAD;11.80;17162.00;43210000;;;-100000;1;0.000;;;
